id,key,value,type
4816939,surface,asphalt,regular
4816939,maxspeed,40 mph,regular
4816939,maxspeed,sign,source
4816962,ref,A4055,regular
4816962,oneway,yes,regular
4816962,highway,primary,regular
4816962,surface,asphalt,regular
4817058,name,Bute Street,regular
4817058,oneway,yes,regular
4817058,highway,tertiary,regular
4817058,maxspeed,30 mph,regular
4817068,ref,A4119,regular
4817068,lanes,1,regular
4817068,oneway,yes,regular
4817068,highway,primary,regular
4817069,ref,A470,regular
4817069,foot,yes,regular
4817069,name,Lloyd George Avenue,regular
4817069,oneway,yes,regular
4817069,bicycle,yes,regular
4817069,highway,primary,regular
4817069,surface,asphalt,regular
4817226,ref,A470,regular
4817226,foot,yes,regular
4817226,name,Bute Street,regular
4817226,lanes,2,regular
4817226,oneway,no,regular
4817226,bicycle,yes,regular
4817226,highway,primary,regular
4817226,cy,Stryd Bute,name
4817226,surface,asphalt,regular
4817226,maxspeed,30 mph,regular
4817226,sidewalk,both,regular
4817226,maxheight,"14'9""",regular
4817227,foot,yes,regular
4817227,name,Bute Street,regular
4817227,lanes,2,regular
4817227,oneway,yes,regular
4817227,bicycle,yes,regular
4817227,highway,primary,regular
4817227,cy,Stryd Bute,name
4817227,surface,asphalt,regular
4817227,maxspeed,30 mph,regular
4817234,ref,A470,regular
4817234,foot,yes,regular
4817234,name,Bute Street,regular
4817234,lanes,1,regular
4817234,oneway,yes,regular
4817234,bicycle,yes,regular
4817234,highway,primary,regular
4817234,cy,Stryd Bute,name
4817234,surface,asphalt,regular
4817234,maxspeed,30 mph,regular
4817321,name,Saint Mary Street,regular
4817321,oneway,yes,regular
4817321,highway,tertiary,regular
4817321,cy,Heol Eglwys Fair,name
4818701,ref,A4232,regular
4818701,note,"road is built to a high physical standard, and arguably a better route than the A48",regular
4818701,lanes,2,regular
4818701,oneway,yes,regular
4818701,highway,primary,regular
4818701,surface,asphalt,regular
4819467,highway,primary,regular
4819467,lanes,4,regular
4819467,name,Castle Street,regular
4819467,en,Castle Street,name
4819467,ref,A4161,regular
4819467,surface,paved,regular
4819754,highway,primary,regular
4819754,name,Penhill Road,regular
4819754,oneway,no,regular
4819754,ref,A4119,regular
4819754,surface,paved,regular
4819908,highway,trunk,regular
4819908,lanes,4,regular
4819908,name,Western Avenue,regular
4819908,ref,A48,regular
4819925,ref,A4054,regular
4819925,name,Bridge Road,regular
4819925,lanes,2,regular
4819925,oneway,no,regular
4819925,highway,primary,regular
4819925,surface,paved,regular
4819927,lanes,1,regular
4819927,oneway,yes,regular
4819927,highway,primary,regular
4819927,junction,roundabout,regular
4819927,maxspeed,30 mph,regular
4819927,direction,clockwise,regular
4819928,ref,A4054,regular
4819928,name,Park Road,regular
4819928,lanes,2,regular
4819928,oneway,no,regular
4819928,highway,primary,regular
4819928,surface,paved,regular
4819928,maxspeed,30 mph,regular
4819933,lit,yes,regular
4819933,ref,A4054,regular
4819933,name,Pendwyallt Road,regular
4819933,lanes,1,regular
4819933,oneway,yes,regular
4819933,highway,primary,regular
4819949,lit,yes,regular
4819949,ref,A4054,regular
4819949,name,Pendwyallt Road,regular
4819949,lanes,2,regular
4819949,oneway,yes,regular
4819949,highway,primary,regular
4822493,name,Culverhouse Cross Roundabout,regular
4822493,oneway,yes,regular
4822493,highway,trunk,regular
4822493,surface,asphalt,regular
4822493,junction,roundabout,regular
4822493,maxspeed,40 mph,regular
4822493,direction,clockwise,regular
4822494,ref,A48,regular
4822494,foot,yes,regular
4822494,name,Cowbridge Road West,regular
4822494,lanes,2,regular
4822494,oneway,yes,regular
4822494,highway,trunk,regular
4822494,maxspeed,40 mph,regular
4822498,ref,A48,regular
4822498,foot,yes,regular
4822498,name,Cowbridge Road West,regular
4822498,lanes,2,regular
4822498,oneway,yes,regular
4822498,highway,trunk,regular
4822498,surface,asphalt,regular
4822498,maxspeed,40 mph,regular
4822498,sidewalk,left,regular
4822502,lanes,2,regular
4822502,oneway,yes,regular
4822502,highway,trunk_link,regular
4822502,surface,asphalt,regular
4822503,lanes,2,regular
