id,user,uid,version,changeset,timestamp
4983367,MDCore,1807167,15,48600553,2017-05-11T18:05:34Z
4983614,MDCore,1807167,10,48599405,2017-05-11T17:12:46Z
4983616,MDCore,1807167,8,48599405,2017-05-11T17:12:51Z
4983627,MDCore,1807167,11,48599405,2017-05-11T17:12:29Z
4983630,Jay456,439547,9,35554806,2015-11-24T16:36:58Z
4983639,danwain,5599343,13,47369444,2017-04-01T22:52:30Z
4983643,MDCore,1807167,5,48600662,2017-05-11T18:07:18Z
4983644,hanch12a,5566198,15,50400569,2017-07-19T09:56:43Z
4983659,MDCore,1807167,7,48600553,2017-05-11T18:08:07Z
4983663,Jay456,439547,5,35644876,2015-11-29T12:11:56Z
4983671,Jay456,439547,19,35197852,2015-11-09T17:37:06Z
4983763,MDCore,1807167,6,48613390,2017-05-12T06:43:09Z
4983785,m-a-p,822681,10,19606089,2013-12-23T19:23:27Z
4983794,danwain,5599343,9,47369428,2017-04-01T22:51:28Z
4983848,MDCore,1807167,3,48613390,2017-05-12T07:29:37Z
4983857,MDCore,1807167,6,48613390,2017-05-12T07:17:48Z
4983858,MDCore,1807167,7,48613390,2017-05-12T07:17:45Z
4983879,-Anarchy-,2304265,6,25231435,2014-09-04T17:21:51Z
4988708,Mike Baggaley,873940,6,41976955,2016-09-07T11:21:53Z
4988709,Jay456,439547,6,48470450,2017-05-07T10:14:01Z
4988710,calfarome,2511706,4,32679189,2015-07-16T16:58:39Z
4988711,Terrence Morgan,2854648,8,30465227,2015-04-25T00:38:06Z
4988712,Terrence Morgan,2854648,8,30465227,2015-04-25T00:38:07Z
4988757,MDCore,1807167,7,48663954,2017-05-14T03:09:25Z
4988759,Huw Waters,327578,7,9966284,2011-11-27T13:20:57Z
4989428,OSMF Redaction Account,722137,21,12207566,2012-07-13T14:55:41Z
4989469,Gabriel Reynolds,6202436,7,50272604,2017-07-14T04:08:31Z
4989474,abeverley,870372,16,40324795,2016-06-27T16:12:36Z
4989476,Paul The Archivist,82783,9,6943521,2011-01-12T01:45:35Z
4989483,chriscf,8235,11,38154996,2016-03-29T23:43:58Z
4989497,Gabriel Reynolds,6202436,5,50272604,2017-07-14T04:08:31Z
4989498,Gabriel Reynolds,6202436,6,50272604,2017-07-14T04:08:32Z
4989502,Terrence Morgan,2854648,5,30465227,2015-04-25T00:46:17Z
4989503,-Anarchy-,2304265,3,25623284,2014-09-23T11:42:11Z
4989505,gbp,241161,3,34981580,2015-10-30T21:39:03Z
4989514,Jay456,439547,5,36299382,2016-01-01T15:08:37Z
4989669,Paul The Archivist,82783,7,6930097,2011-01-10T20:40:27Z
4989683,-Anarchy-,2304265,11,27816125,2014-12-31T06:40:06Z
4989684,-Anarchy-,2304265,10,27816125,2014-12-31T06:40:06Z
4989688,Huw Waters,327578,6,9598730,2011-10-19T11:10:39Z
4989700,mjn,88771,11,41593899,2016-08-21T13:30:44Z
4989715,StellanL,28775,6,10316876,2012-01-06T22:28:47Z
4989716,Terrence Morgan,2854648,5,30465227,2015-04-25T01:03:01Z
4989717,-Anarchy-,2304265,5,25623284,2014-09-23T11:42:10Z
4989742,Jay456,439547,6,25696871,2014-09-26T23:13:21Z
4989743,Jay456,439547,7,25696871,2014-09-26T23:13:22Z
4989744,Jay456,439547,9,28048985,2015-01-10T20:10:31Z
4998007,danwain,5599343,9,47369501,2017-04-01T22:56:49Z
4998019,danwain,5599343,9,47369502,2017-04-01T22:56:54Z
4998039,dbisping,28024,6,15846570,2013-04-24T09:12:44Z
4998064,danwain,5599343,8,47369499,2017-04-01T22:56:39Z
4998066,tms13,91225,8,26744843,2014-11-12T21:34:42Z
4998121,Jay456,439547,11,27757843,2014-12-28T16:59:01Z
4998126,danwain,5599343,9,47369480,2017-04-01T22:55:50Z
4998131,chriscf,8235,9,38189711,2016-03-31T06:57:20Z
4998132,dbisping,28024,6,15846393,2013-04-24T08:54:21Z
4998138,Mike Baggaley,873940,73,42003161,2016-09-08T12:38:01Z
4998171,Huw Waters,327578,4,9731591,2011-11-03T16:05:28Z
4998212,Jay456,439547,39,52193518,2017-09-19T21:06:05Z
4998305,trigpoint,12992,12,20434193,2014-02-07T17:09:26Z
4998345,DaveF,115894,15,50530469,2017-07-24T14:31:38Z
4998368,DaveF,115894,9,50530469,2017-07-24T14:31:38Z
4998585,Jay456,439547,8,27757641,2014-12-28T16:52:03Z
5011080,MDCore,1807167,28,48613390,2017-05-12T06:48:10Z
5011082,OSMF Redaction Account,722137,19,12207742,2012-07-13T15:12:16Z
5011085,Jay456,439547,12,34130018,2015-09-19T21:46:52Z
5015620,woodiwiss,6435413,21,52149358,2017-09-18T15:43:21Z
5015626,JonBritton,48155,22,17346250,2013-08-14T13:55:26Z
5015633,MDCore,1807167,9,48839644,2017-05-20T10:00:37Z
5015639,Mauls,24119,3,16272872,2013-05-25T00:07:39Z
5015644,IknowJoseph,30587,11,16525652,2013-06-12T15:49:27Z
5015646,danwain,5599343,9,47369488,2017-04-01T22:56:09Z
5015648,Huw Waters,327578,5,9731038,2011-11-03T14:47:31Z
5015662,m-a-p,822681,6,20238172,2014-01-27T22:55:01Z
5015672,m-a-p,822681,10,20238172,2014-01-27T22:55:01Z
5015678,m-a-p,822681,6,20238172,2014-01-27T22:55:02Z
5015685,m-a-p,822681,5,20238172,2014-01-27T22:55:02Z
5015692,Steve Hosgood,15217,10,9760405,2011-11-06T21:53:20Z
5015696,cardiffbybike,3585135,28,40065978,2016-06-16T12:50:10Z
5015720,IknowJoseph,30587,5,5106956,2010-06-29T16:26:52Z
5015724,chriscf,8235,12,2966996,2009-10-27T17:28:01Z
5015728,m-a-p,822681,5,24118393,2014-07-13T12:49:48Z
5015729,m-a-p,822681,3,24118393,2014-07-13T12:49:48Z
5015733,-Anarchy-,2304265,11,30340751,2015-04-19T20:21:10Z
5015735,MDCore,1807167,7,48599405,2017-05-11T17:12:57Z
5015737,MDCore,1807167,8,48705335,2017-05-15T16:05:13Z
5016061,MDCore,1807167,7,48613390,2017-05-12T07:27:16Z
5016078,MDCore,1807167,6,48705335,2017-05-15T16:07:14Z
5016101,MDCore,1807167,7,48705335,2017-05-15T16:07:18Z
5016113,chriscf,8235,19,2966996,2009-10-27T17:42:45Z
5026487,Welshie,508,7,8799329,2011-07-22T16:48:20Z
5026489,Jay456,439547,5,20619581,2014-02-17T17:31:37Z
5026523,-Anarchy-,2304265,5,30144204,2015-04-11T14:55:27Z
5026533,Jay456,439547,4,20619581,2014-02-17T17:31:37Z
5026538,Jay456,439547,7,20619581,2014-02-17T17:31:37Z
5026546,m-a-p,822681,7,30475063,2015-04-25T14:05:02Z
5026647,Jay456,439547,6,35197852,2015-11-09T17:37:07Z
5026684,MDCore,1807167,6,48613390,2017-05-12T07:31:47Z
5026697,MDCore,1807167,5,48613390,2017-05-12T07:29:16Z
5026761,bienjamu,2404968,4,47933290,2017-04-19T10:25:12Z
5026762,bienjamu,2404968,5,47933290,2017-04-19T10:25:13Z
5026764,bienjamu,2404968,7,47880558,2017-04-17T18:27:38Z
5026767,bienjamu,2404968,10,47969742,2017-04-20T12:13:36Z
5026772,MDCore,1807167,12,48705651,2017-05-15T16:12:35Z
5026880,-Anarchy-,2304265,11,30340661,2015-04-19T20:16:54Z
5026888,IknowJoseph,30587,3,5167735,2010-07-08T17:02:25Z
5026895,MDCore,1807167,16,48613390,2017-05-12T06:49:41Z
5026906,chriscf,8235,18,38154996,2016-03-29T23:43:57Z
5026907,woodiwiss,6435413,7,52083083,2017-09-15T22:19:00Z
5026908,woodiwiss,6435413,3,52083083,2017-09-15T22:19:00Z
5026933,woodiwiss,6435413,26,52083083,2017-09-15T22:19:00Z
5026942,MDCore,1807167,14,48613390,2017-05-12T06:47:29Z
5026967,dbisping,28024,13,15839471,2013-04-23T17:26:21Z
5026968,StellanL,28775,5,7993854,2011-04-28T11:41:23Z
5026982,Davlak,217070,4,16484352,2013-06-09T16:21:44Z
5027003,danwain,5599343,26,47369474,2017-04-01T22:55:14Z
5027007,woodiwiss,6435413,6,52083083,2017-09-15T22:19:00Z
5027008,woodiwiss,6435413,4,52083083,2017-09-15T22:19:00Z
5027014,woodiwiss,6435413,5,52083083,2017-09-15T22:19:00Z
5027029,Jay456,439547,12,34129772,2015-09-19T21:29:36Z
5027032,Davlak,217070,3,16484352,2013-06-09T16:20:53Z
5027038,MDCore,1807167,9,48600553,2017-05-11T18:09:47Z
5027430,MDCore,1807167,36,48613390,2017-05-12T06:42:18Z
5030508,-Anarchy-,2304265,9,30144204,2015-04-11T14:55:24Z
5363955,m-a-p,822681,13,15829982,2013-04-22T20:50:16Z
7655483,DanGregory,2565445,6,41124653,2016-07-30T10:05:48Z
